Image,Confidence,TP,FP,TP_acc,FP_acc,Precision,Recall,F1
Image 59,0.7652702927589417,1,0,88,1,0.9887640449438202,0.704,0.822429906542056
Image 2,0.7474443316459656,1,0,89,1,0.9888888888888889,0.712,0.827906976744186
Image 37,0.733646810054779,1,0,90,1,0.989010989010989,0.72,0.8333333333333334
Image 2,0.725674569606781,1,0,91,1,0.9891304347826086,0.728,0.8387096774193548
Image 28,0.7049180269241333,1,0,92,1,0.989247311827957,0.736,0.8440366972477065
Image 18,0.7015632390975952,1,0,93,1,0.9893617021276596,0.744,0.8493150684931507
Image 51,0.7011788487434387,1,0,94,1,0.9894736842105263,0.752,0.8545454545454546
Image 45,0.6933508515357971,0,1,94,2,0.9791666666666666,0.752,0.8506787330316741
Image 54,0.6756104826927185,1,0,95,2,0.979381443298969,0.76,0.855855855855856
Image 11,0.6642858386039734,1,0,96,2,0.9795918367346939,0.768,0.8609865470852017
Image 31,0.6617320775985718,1,0,97,2,0.9797979797979798,0.776,0.8660714285714285
Image 18,0.6360132694244385,0,1,97,3,0.97,0.776,0.8622222222222223
Image 31,0.6138877868652344,1,0,98,3,0.9702970297029703,0.784,0.8672566371681416
Image 0,0.6088893413543701,1,0,99,3,0.9705882352941176,0.792,0.8722466960352424
Image 42,0.6003268957138062,1,0,100,3,0.970873786407767,0.8,0.8771929824561404
Image 45,0.5953670740127563,0,1,100,4,0.9615384615384616,0.8,0.8733624454148472
Image 12,0.5883030295372009,1,0,101,4,0.9619047619047619,0.808,0.8782608695652175
Image 40,0.5857478380203247,0,1,101,5,0.9528301886792453,0.808,0.8744588744588744
Image 40,0.5854809880256653,0,1,101,6,0.9439252336448598,0.808,0.8706896551724138
Image 30,0.5481105446815491,1,0,102,6,0.9444444444444444,0.816,0.8755364806866952
Image 6,0.5370041728019714,1,0,103,6,0.944954128440367,0.824,0.8803418803418803
Image 11,0.5194459557533264,0,1,103,7,0.9363636363636364,0.824,0.876595744680851
Image 59,0.504269003868103,1,0,104,7,0.9369369369369369,0.832,0.8813559322033897
